Songsname,Pitch_Mean,Pitch_SD,Length,Time_Signature,DB_Value,Tempo,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Camelot
Jibon Kosupator.mp3,2571.567943,841.0024237,321.5649792,3,4.955316782,90.72580645,4.11E-05,0.234645827,0.33977142,4.22E-05,2593.437048,-89.41591,5.633641,6.069674,12B
Jodi morom nasil.mp3,2330.905761,902.5000794,309.8769792,3,3.788511455,92.21311475,0.001339187,0.218841472,0.29399583,-2.22E-05,2458.504232,-125.26749,2.0963159,-3.2048624,11B
joubonote prem hoi.mp3,2105.90969,578.7750887,290.7729792,4,2.203279883,92.21311475,9.38E-07,0.237839561,0.2312629,-3.78E-05,2185.618214,-136.51013,0.6219935,-6.545355,2B
Kolia Daoure Ii.mp3,2419.836093,787.2599356,280.4769792,3,0.302680489,87.890625,1.57E-05,0.155325735,0.19884408,-6.10E-05,2694.072094,-131.65996,2.4017613,-5.9139853,3B
Junbai.mp3,1838.652822,754.5481253,210.4449792,3,6.531251073,98.68421053,0.02397502,0.188005018,0.25102106,-0.00013469,1974.620218,-151.4364,1.199834,-6.144259,2B
JUNBAI AI.mp3,2108.196049,752.896538,293.0529792,3,-3.150818944,102.2727273,0.020854654,0.220953267,0.11313362,-5.50E-07,2000.392691,-226.56557,-5.1469316,-36.217472,1B
KAHILI PUWATE.mp3,2508.664764,852.0723864,261.7329792,3,3.82730037,95.33898305,4.24E-06,0.19781533,0.20569606,9.67E-06,2516.928003,-131.38551,2.4624705,-8.121243,11B
Kasi Doliwali.mp3,2264.855086,809.8420426,346.6929792,3,1.767416,93.75,0.005975379,0.22465659,0.19496289,-4.91E-06,2321.17035,-148.92982,0.7386956,-9.166991,3B
KASOI KONI PARE.mp3,2617.740186,1037.386519,278.0049792,4,0.697714686,130.8139535,0.0197613,0.204754378,0.16328171,9.26E-06,2566.544586,-167.08328,-1.6011008,-20.406294,2B
KINU SAWONIRE.mp3,2106.911455,733.6579385,299.0529792,4,1.477513462,82.72058824,8.39E-05,0.24179047,0.2611572,-3.14E-06,2230.072336,-127.12129,4.694538,0.8072658,11B
KOLIA DAORE JUNBAI.mp3,2159.524292,713.7071652,279.3729792,3,2.215829641,87.890625,0.000152301,0.191084657,0.201494,-7.16E-05,2190.10171,-141.47299,2.197881,-6.3278675,3B
Koliya Dawre.mp3,2177.649169,717.9181586,282.4929792,3,3.661235571,87.890625,0.003063812,0.200650321,0.2287636,-8.13E-05,2185.97159,-128.858,2.9871933,-2.746778,3B
KONG SENG.mp3,2248.173281,1154.621638,354.7569792,3,4.987390041,92.21311475,0.07808577,0.1998598,0.2355011,3.13E-05,2252.53319,-149.06485,1.7508423,-15.537312,12B
Kune Bujibo.mp3,2286.008579,920.7184038,353.9889792,4,1.928343028,140.625,0.000583622,0.229153277,0.2589048,4.82E-05,2348.778463,-135.63065,1.8777908,-6.876977,12B
Lajuki Mon.mp3,2192.578778,793.7401505,2196.060979,3,7.568960786,96.98275862,0.00122953,0.205123786,0.20109145,-2.81E-06,2484.596129,-146.97905,3.4919796,-6.192354,11B
